date,skill,model,input_tokens,output_tokens,cache_read,cache_creation
2026-04-15,repo-actions,claude-sonnet-4-6,2955,19252,748194,62081
2026-04-15,push-recap,claude-opus-4-6,2705,16642,1210180,62553
2026-04-30,heartbeat,claude-sonnet-4-6,22,10926,839232,42677
2026-04-30,repo-actions,claude-sonnet-4-6,14,16714,501118,45970
2026-04-30,self-improve,claude-opus-4-6,25,20038,1492703,81518
2026-04-30,feature,claude-opus-4-6,136,40237,15857657,198159
2026-04-30,repo-actions,claude-sonnet-4-6,17,12956,622423,46692
2026-04-30,push-recap,claude-opus-4-6,25,17182,1223985,70770
2026-04-30,repo-article,claude-opus-4-6,23,8570,748615,44511
2026-04-30,heartbeat,claude-sonnet-4-6,20,8881,692095,37099
2026-05-01,fetch-tweets,claude-sonnet-4-6,2168,11765,780786,44150
2026-05-01,repo-pulse,claude-sonnet-4-6,15,12178,466288,37111
2026-05-01,feature,claude-opus-4-6,126,29843,12854073,131599
2026-05-01,push-recap,claude-opus-4-6,22,13949,993482,58076
2026-05-01,project-lens,claude-opus-4-6,922,12076,996051,47950
2026-05-01,heartbeat,claude-sonnet-4-6,12,6290,350872,30053
2026-05-02,token-report,claude-sonnet-4-6,12,9592,476559,52608
2026-05-02,hyperstitions-ideas,claude-opus-4-6,8,6148,206734,29290
2026-05-02,feature,claude-opus-4-6,87,28468,5938430,89631
2026-05-02,hyperstitions-ideas,claude-opus-4-6,11,4991,346139,34812
2026-05-02,repo-actions,claude-sonnet-4-6,14,17470,531462,50024
2026-05-02,push-recap,claude-opus-4-6,23,16174,901609,53650
2026-05-02,repo-article,claude-opus-4-6,981,7929,677388,53476
2026-05-02,heartbeat,claude-sonnet-4-6,11,5248,293468,26256
2026-05-02,heartbeat,claude-sonnet-4-6,7,4299,157607,25344
2026-05-03,fetch-tweets,claude-sonnet-4-6,3742,9296,542547,43906
2026-05-03,repo-pulse,claude-sonnet-4-6,15,8267,394280,26529
2026-05-03,feature,claude-opus-4-6,111,46842,10908053,141666
2026-05-03,push-recap,claude-opus-4-6,17,9758,575002,49368
2026-05-03,skill-leaderboard,claude-sonnet-4-6,12,5509,311347,26854
2026-05-03,memory-flush,claude-sonnet-4-6,16,11759,544835,36609
2026-05-03,heartbeat,claude-sonnet-4-6,10,7991,281816,29169
2026-05-03,heartbeat,claude-sonnet-4-6,11,8048,315970,31240
2026-05-04,fetch-tweets,claude-sonnet-4-6,2363,14241,678147,43577
2026-05-04,weekly-shiplog,claude-opus-4-6,19,11776,825058,58110
2026-05-04,repo-pulse,claude-sonnet-4-6,21,10019,956282,76780
2026-05-04,feature,claude-opus-4-6,101,31636,7071729,95694
2026-05-04,push-recap,claude-opus-4-6,21,10917,1017175,63080
2026-05-04,project-lens,claude-opus-4-6,21,8130,826203,48527
2026-05-04,heartbeat,claude-sonnet-4-6,8,6429,204584,28609
2026-05-05,fetch-tweets,claude-sonnet-4-6,1469,12048,590180,48593
2026-05-05,repo-pulse,claude-sonnet-4-6,14,5307,421146,32466
2026-05-05,feature,claude-opus-4-6,600,25057,10485103,124749
2026-05-05,push-recap,claude-opus-4-6,21,16211,1057928,59400
2026-05-05,heartbeat,claude-sonnet-4-6,11,6892,318785,30550
2026-05-06,fetch-tweets,claude-sonnet-4-6,1311,8545,528153,35446
2026-05-06,repo-pulse,claude-sonnet-4-6,18,7842,555868,33327
2026-05-06,feature,claude-opus-4-6,57,18735,4951886,111037
2026-05-06,push-recap,claude-opus-4-6,16,8581,783550,18849
2026-05-06,project-lens,claude-opus-4-6,2506,8061,990806,53105
2026-05-06,memory-flush,claude-sonnet-4-6,18,12972,627266,36027
2026-05-06,heartbeat,claude-sonnet-4-6,10,6958,256124,27421
2026-05-07,token-report,claude-sonnet-4-6,12,15086,489212,54587
2026-05-07,repo-pulse,claude-sonnet-4-6,15,5014,441347,27224
2026-05-07,feature,claude-opus-4-6,158,46121,17987517,181019
2026-05-07,push-recap,claude-opus-4-6,25,13337,1367682,68404
2026-05-07,heartbeat,claude-sonnet-4-6,14,7401,439355,28052
2026-05-08,token-report,claude-sonnet-4-6,3021,14156,605862,50608
2026-05-08,repo-pulse,claude-sonnet-4-6,19,6396,597108,29822
2026-05-08,feature,claude-opus-4-6,140,47219,14951106,134837
2026-05-08,self-improve,claude-opus-4-6,1076,8276,928957,38671
2026-05-08,repo-actions,claude-sonnet-4-6,23,19122,990103,58875
2026-05-08,project-lens,claude-opus-4-6,2321,10648,852861,51598
2026-05-08,heartbeat,claude-sonnet-4-6,10,8813,290035,29380
2026-05-09,token-report,claude-sonnet-4-6,433,17193,457739,50775
2026-05-09,hyperstitions-ideas,claude-opus-4-6,9,4630,242959,26687
2026-05-09,feature,claude-opus-4-6,123,39726,12548164,129394
2026-05-09,push-recap,claude-opus-4-6,20,30137,1405193,105051
2026-05-09,heartbeat,claude-sonnet-4-6,13,8587,413306,29888
2026-05-09,heartbeat,claude-sonnet-4-6,10,7798,285720,28884
2026-05-10,fetch-tweets,claude-sonnet-4-6,2792,10875,578152,51286
2026-05-10,repo-pulse,claude-sonnet-4-6,12,3357,337719,26585
2026-05-10,feature,claude-opus-4-6,80,29900,6546468,98170
2026-05-10,repo-actions,claude-sonnet-4-6,18,16445,821419,53926
2026-05-10,push-recap,claude-opus-4-6,28,18056,1438483,68334
2026-05-10,repo-article,claude-opus-4-6,2666,9836,1180639,57367
2026-05-10,skill-leaderboard,claude-sonnet-4-6,18,9586,585340,31764
2026-05-10,memory-flush,claude-sonnet-4-6,14,9897,455490,29930
2026-05-10,heartbeat,claude-sonnet-4-6,9,6090,248491,28003
2026-05-11,fetch-tweets,claude-sonnet-4-6,512,6312,494451,25247
2026-05-11,feature,claude-opus-4-6,102,44507,10529404,177663
2026-05-11,push-recap,claude-opus-4-6,21,13233,1099622,64654
2026-05-11,heartbeat,claude-sonnet-4-6,18,12523,691648,37687
2026-05-12,fetch-tweets,claude-sonnet-4-6,695,8877,479737,27673
2026-05-12,repo-pulse,claude-sonnet-4-6,12,5861,358944,31014
2026-05-12,feature,claude-opus-4-6,63,27946,6127198,124955
2026-05-12,repo-actions,claude-sonnet-4-6,23,16855,1139413,61296
2026-05-12,repo-article,claude-opus-4-6,901,7642,778481,39535
2026-05-12,heartbeat,claude-sonnet-4-6,11,8236,340987,34715
2026-05-12,heartbeat,claude-sonnet-4-6,8,3550,198440,25661
2026-05-13,fetch-tweets,claude-sonnet-4-6,1751,9204,507816,43858
2026-05-13,repo-pulse,claude-sonnet-4-6,15,4342,482707,30221
